,variable_num
11,0.0248114896397977
1,0.206074429873591
18,-0.0640273474172715
5,0.0923012076754775
27,-0.160919260915013
57,-0.481536438964115
0,0.308371451330744
66,-0.674091778014889
7,0.0742695074552882
22,-0.109761380650404
73,-0.779999974337323
26,-0.153811580178796
72,-0.755660629328066
8,0.0600293994200539
32,-0.237838819268451
12,0.0058186096787012
23,-0.127701659794605
49,-0.399930044307894
33,-0.247097598799637
17,-0.0442116717838802
30,-0.219462236086314
31,-0.236469887870937
10,0.0292974345402481
15,-0.0253956150961668
47,-0.376528248138382
39,-0.330534951889468
36,-0.316814735231603
64,-0.643464812936426
52,-0.413465634534904
19,-0.101335623515687
61,-0.555025286873199
63,-0.611192509024676
46,-0.375411065744916
41,-0.341060101197541
37,-0.326401582743664
56,-0.466517841326822
44,-0.351808726274897
55,-0.443520808722932
25,-0.136497692466749
40,-0.338178306023129
3,0.12759464746969
65,-0.651236001957154
42,-0.343932100676119
24,-0.135440836795716
60,-0.552850466244922
16,-0.0277076432101671
68,-0.695016565743576
13,-0.0153013718719451
14,-0.0238649102514765
77,-0.905804927490059
67,-0.679784284687803
70,-0.731725014477395
29,-0.186030965729816
20,-0.103738883261936
4,0.111802358219391
69,-0.722205975961241
76,-0.89005901708429
28,-0.163585438880144
71,-0.737199391990641
53,-0.419121525656799
51,-0.412805652707446
35,-0.310397719623678
