,variable_num
3,0.12759464746969
23,-0.127701659794605
4,0.111802358219391
21,-0.108123512643199
46,-0.375411065744916
76,-0.89005901708429
53,-0.419121525656799
51,-0.412805652707446
70,-0.731725014477395
14,-0.0238649102514765
24,-0.135440836795716
68,-0.695016565743576
0,0.308371451330744
58,-0.499494942728116
63,-0.611192509024676
47,-0.376528248138382
29,-0.186030965729816
13,-0.0153013718719451
69,-0.722205975961241
60,-0.552850466244922
7,0.0742695074552882
50,-0.407821670602044
38,-0.326995454951121
27,-0.160919260915013
9,0.0395848518750902
36,-0.316814735231603
32,-0.237838819268451
39,-0.330534951889468
22,-0.109761380650404
6,0.0839155867662129
61,-0.555025286873199
62,-0.588151521725834
35,-0.310397719623678
15,-0.0253956150961668
2,0.171138274986195
10,0.0292974345402481
30,-0.219462236086314
37,-0.326401582743664
40,-0.338178306023129
19,-0.101335623515687
16,-0.0277076432101671
55,-0.443520808722932
28,-0.163585438880144
43,-0.344474706517438
59,-0.517033831697216
11,0.0248114896397977
67,-0.679784284687803
25,-0.136497692466749
52,-0.413465634534904
72,-0.755660629328066
34,-0.295691389697415
77,-0.905804927490059
44,-0.351808726274897
57,-0.481536438964115
26,-0.153811580178796
1,0.206074429873591
49,-0.399930044307894
45,-0.353562205284365
74,-0.82432822776452
65,-0.651236001957154
56,-0.466517841326822
73,-0.779999974337323
